id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
11329	"rubin, daniel l"	-0.1855	-0.27	4	1	2	5	2016.8
11364	"ruiz-narvaez, edward a"	0.3842	-0.9369	5	18	89	7	2016.5714
11388	"rutter, charles e"	-1.3958	-0.3803	14	7	18	5	2015.4
11401	"ryu, han suk"	1.6567	0.2085	8	9	28	6	2017
11468	"sala, maria"	-0.4246	0.8379	13	10	12	5	2016.4
11476	"salas-trejo, dolores"	-0.457	1.3096	7	11	77	8	2017
11534	"sanchez-contador, carmen"	-0.4492	1.4074	7	11	77	8	2017
11549	"sandler, dale p"	0.2981	-0.1105	16	13	22	13	2016.8462
11565	"santamarina, carmen"	-0.416	1.3525	7	11	77	8	2017
11566	"santella, regina m"	0.3544	-0.4175	9	15	76	13	2016.0769
11613	"saunders, christobel"	0.6962	-0.1375	16	3	6	5	2016.4
